A,,,,,"   Indicators MAIN IDEAS 1) PROOF OF CONTINUED EXISTENCE, OR DEATH 2) DID THEY RAISE $$, WHAT FORM, AND HOW MUCH 3) COMMUNITY (e.g., jobs) OR ENVIRONMENTAL IMPACT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Founder/Submitter,Industry,Year,Region,1-1) QUICK GLANCE AT COMPANY FOR PROOF OF EXISTENCE,From 2024 Data ,From 2024 Data ,From 2026 onwards,,  1-1) ONLINE PRESENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2) IN-DEPTH RESEARCH FOR MORE PROOF (CHECK IF NEEDED),"   1-2) ADDITIONAL PROOF OF CONTINUED EXISTENCE, OR DEATH",,,,,,,,,,,,,,,2) EVIDENCE OF CAPITAL RAISES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accelerator,,,,3) Community or Environmental Impact,,,,,,,,,,,,,,,,,,,,
,,,,,,"Status as of 2024, Y=Alive, N=Dead, S=Maybe, A=Acquire",,Still Alive?,,Company Website (Google Search),,,,LinkedIn (Website),,,,,,,,,,,,,,,Online reviews,,,News articles,,,,,,Word of mouth,,,,,,,,Continued Membership in Industry Organizations (wiki),,,,Websites tracking failures,News stories,N,,,SEC Reg D filings (website here),,,,,,Website url,,,,Number of Funding Rounds,,,Total (disclosed) Funding Amount ($USD),,,,,,Latest Funding Year,,,,,Latest Funding Amount ($USD),,,,,,"Latest Funding Type (friends&family, seed, A-round, grant, etc)",,,,,Earliest Funding Year,,,,,Funding Type with most money raised,,,,,Year with most money raised,,,,,News about capital raise,,,,Word of mouth,,,,,Evidence of Expansion/Growth,,,,,,,Evidence of Global Expansion,,Evidence of environmental impact,,,,,,,,,,SCORED BY,DATE OF COMPLETION
SHAREnergy ,"Jon Hallé, Eithne George",Energy Efficiency,2016,Northeast,,Y,2024,Y,2026,,Y,2026,news,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,,,,,,,,,,,,,N,N,,,,,,,https://my.pitchbook.com/profile/185083-39/company/profile,,,,1,,,,,,0.05M,,,,,2016,,,,,0.05M,,,,,,Accelerator/Incubator,,,,,2016,,,,,Accelerator/Incubator,,,,,2016,,N,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/3/2026
SparkCharge,Joshua Aviv,Energy Distribution & Storage / Energy Generation,2016,Northeast,,Y,2024,Y,2025,https://www.sparkcharge.io/,Y,2025,news,Y,https://www.linkedin.com/company/sparkcharge/,Y,2025,Y,,Joshua Aviv,https://www.linkedin.com/in/joshua-aviv/,twitter,https://x.com/sparkcharge?lang=en,instagram,2025,https://www.instagram.com/sparkcharge.io/?hl=en,N,,Y,glassdoor,2025,Y,2025,https://techcrunch.com/2025/05/20/sparkcharge-raises-30m-to-help-fleets-electrify-without-commitments/,N,,,N,,Y,2024,N,,N,,N,,N,,,,N,,N,Y,2024,Equity,,"19,318,223","13,330,480",,https://my.pitchbook.com/profile/185083-57/company/profile,,,,11,,,,,,89.77M,,,,,2025,,,,,30.5M,,,,,,Later Stage VC,,,,,2017,,,,,Later Stage VC,,,,,2025,,Y,https://techcrunch.com/2025/05/20/sparkcharge-raises-30m-to-help-fleets-electrify-without-commitments/,2025,30M,N,Y,Dominion Energy Innovation Center,2023,https://my.pitchbook.com/profile/185083-57/company/deals#deal-258901-84T,Y,2026,Y,2026,,,,N,,Y,2025,https://www.sciencedirect.com/science/article/abs/pii/S0360544225013556,Y,2025,,Y,2025,Y,https://www.linkedin.com/posts/joshua-aviv_sparkai-evmobility-fleetelectrification-activity-7396923196794572801-NaaB/,Geoffrey,2/3/2026
Sparkplug Power,Sean Becker,Energy Distribution $ Storage,2016,Northeast,,Y,2024,S,2017,https://sparkplugpower.com/,Y,2017,blog,Y,https://www.linkedin.com/company/sparkplug-power/,N,,Y,,Sean Becker,https://www.linkedin.com/in/seanbecker1/,twitter,https://x.com/sparkplugpower,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/123515-92/company/profile,,,,1,,,,,,0.15M,,,,,2014,,,,,0.15M,,,,,,Grant,,,,,2014,,,,,Grant,,,,,2014,,N,,,,N,Y,Greentown Labs,2014,https://my.pitchbook.com/profile/123515-92/company/deals#deal-56954-89T,Y,,,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/3/2026
SUN ISLAND,Kaize Qin,Energy Distribution & Storage / Energy Generation,2016,Northeast,,N,,N,2016,,N,,,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/185084-02/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/3/2026
"CleanTech Methods (formely SE International, LLC)",Christopher Sewell,Information & Communication Tech,2016,Northeast,,N,,N,2020,,N,,,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/185080-60/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/3/2026
Wicked Science I/O,Alessandro Agnello,"Agriculture, Water & Waste",2016,Northeast,,N,,S,2016,,N,,,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/3/2026
Enersave,Raymon Saleeby,Energy Efficiency,2016,Northeast,,S,2024,N,2024,https://enersave.com/,Y,,,N,,N,,N,,Dennis Wilson,https://www.linkedin.com/in/dennis-wilson-0829b02/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/101497-42/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/3/2026
SolarKal,Yaniv Kalish,Energy Generation,2016,Northeast,,Y,2024,Y,2026,https://www.solarkal.com/,Y,2026,blog,Y,https://www.linkedin.com/company/solarkal/,Y,2026,Y,,Yaniv Kalish,https://www.linkedin.com/in/yanivkalish/,twitter ,https://x.com/SolarKal,instagram,2025,https://www.instagram.com/wearesolarkal/?hl=en,N,,Y,glassdoor,2022,Y,2021,https://meliopayments.com/blog/customer-spotlight-solarkal/,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/173381-68/company/profile,,,,3,,,,,,5M,,,,,2023,,,,,4.5M,,,,,,Later Stage VC,,,,,2016,,,,,Later Stage VC,,,,,2023,,N,,,,N,Y,Moderne Ventures,2023,https://my.pitchbook.com/profile/173381-68/company/deals#deal-261128-44T,Y,2026,N,,,,,N,,N,,,Y,2026,https://www.solarkal.com/blog/what-2026-will-reward-in-commercial-solar,,,,,Geoffrey,2/3/2026
"Next Wave Motors, LLC",Stephen Musok,Transportation,2016,Northeast,,N,2016,N,2019,,N,,,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/185082-94/company/profile,,,,1,,,,,,5000,,,,,2016,,,,,5000,,,,,,Grant,,,,,2016,,,,,Grant,,,,,2016,,N,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/3/2026
Illucen,Steven Schimmel,Agriculture Water & Waste,2016,West,,N,2017,N,2017,,N,,,N,,N,,N,2017,Steven Schimmel,https://www.linkedin.com/in/stevenschimmel/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/4/2026
CISBAY.,Cavin Pham & Khanh Le,Agriculture Water & Waste,2016,West,,S,2022,Y,2022,https://cisbay.com/,Y,,,Y,,N,,Y,,Cavin Pham,https://www.linkedin.com/in/cavinp/,twitter,https://x.com/cisbay,instagram,2022,https://www.instagram.com/cisbay/,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/264894-94/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,N,,N,,,,,Y,https://cisbay.com/global-market/,N,,,Y,,https://cisbay.com/environmental/,N,,N,,Geoffrey,2/4/2026
"Biogenic Energy, Inc.",Craig Miott,Energy Generation,2016,West,,N,2018,S,2024,https://www.biogenic.energy/,Y,2024,news,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/470754-55/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,N,,N,,,,,N,,N,,,Y,,https://www.biogenic.energy/our-company,N,,N,,Geoffrey,2/4/2026
foris.io inc,Victoria Vegis,"Agriculture, Water & Waste/ Information & Communication Tech",2016,West,,N,2021,N,2022,,N,,,Y,https://www.linkedin.com/company/foris-io/,N,,Y,2020,Victoria (Vicki) Vegis,https://www.linkedin.com/in/vvegis/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/167999-86/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,The Batchery,,https://my.pitchbook.com/profile/167999-86/company/deals#deal-78160-78T,N,,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/4/2026
HowPower,Carrie Armel,Energy Efficiency,2016,West,,N,,S,2017,,N,,,N,,N,,N,,Carrie Armel,https://www.linkedin.com/in/carriearmel/,,,,,,N,,N,,,Y,,https://tomkat.stanford.edu/innovation-transfer/howpower,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/4/2026
"Hydrocore, Inc.",John Mark Bardsfield,Agriculture Water & Waste,2016,West,,N,2017,S,2017,https://www.hydrocore.net/,Y,2017,copyright,Y,https://www.linkedin.com/company/hydrocore-inc./about/,N,,Y,,John Mark Bardsfield,https://www.linkedin.com/in/john-mark-bardsfield-38abb5a/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/4/2026
MicroNOC,JK Kim,Energy Efficiency,2016,West,,Y,2024,Y,2024,https://www.micronocinc.com/,Y,2024,copyright,Y,https://www.linkedin.com/company/micronocinc/,Y,2025,Y,,JK K.,https://www.linkedin.com/in/j-k-kim/,twitter,https://x.com/micronocinc,instagram,,https://www.instagram.com/micronocinc,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/969754-42/company/profile,,,,1,,,,,,0.05M,,,,,,,,,,0.05M,,,,,,Seed Round,,,,,,,,,,Seed Round,,,,,,,N,,,,N,Y,HugeIdea,,https://my.pitchbook.com/profile/969754-42/company/deals#deal-306822-88T,N,,N,,,,,N,,N,,,Y,,https://www.micronocinc.com/energy-cost-savings,N,,N,,Geoffrey,2/4/2026
Roshan Energy,Ramesh Gopalan,Green Buildings,2016,West,,Y,2024,Y,2026,https://www.roshanenergy.us/about/,Y,,,Y,https://www.linkedin.com/company/roshanenergy-org/,Y,2026,Y,,Ramesh Gopalan,https://www.linkedin.com/in/rameshgopalan-carbon-capture/,twitter,https://x.com/RoshanEnergyUs,instagram,2025,https://www.instagram.com/p/DCl9xgvseRW/,N,,Y,glassdoor,2023,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,,,,,N,,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/4/2026
SIDCO Homes,Mohan Mahal,Energy Generation,2016,West,,S,2023,Y,2025,https://sidcohomes.com/#contact,y,2025,update,N,,N,,Y,,Mohan Mahal,https://www.linkedin.com/in/mohanmahal/,,,facebook,2022,https://www.facebook.com/SidcoHomes/,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/226728-55/investor/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,,,,,N,,N,,,,,N,,N,,,Y,,https://sidcohomes.com/#mission,N,,Y,https://www.paloaltoonline.com/palo-alto/2025/04/17/meet-the-south-bay-company-designing-fire-resistant-eco-friendly-homes/,Geoffrey,2/4/2026
Solar Hydrogen Holdings Inc.,Kirill Gichunts,Energy Generation,2016,West,,N,2014,N,2024,,N,,,Y,https://www.linkedin.com/company/h2-energy-renaissance/,N,,N,2019,Kirill Gichunts,https://www.linkedin.com/in/kirillgichunts/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/266420-62/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/4/2026
SolenSphere LLC,Feng Shi,Energy Generation,2016,West,,N,,N,2016,,N,,,N,,N,,N,,Feng Shi,https://www.linkedin.com/in/feng-shi-82706231/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/4/2016
Sunswarm Community Solar Marketplace,Aaron Clay,Energy Generation,2016,West,,N,2023,N,2024,,N,,,N,,N,,N,2024,Aaron Clay,https://www.linkedin.com/in/aaron-clay/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/185720-50/company/profile#similar-companies,,,,1,,,,,,0.15M,,,,,2018,,,,,0.15M,,,,,,Accelerator/Incubator,,,,,2018,,,,,Accelerator/Incubator,,,,,2018,,N,,,,N,Y,CalSEED,2018,https://my.pitchbook.com/profile/185720-50/company/deals#deal-227174-23T,N,,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/4/2026
UtilityScore,Brian Gitt,Information & Communications Technologies (ICT),2016,West,,N,2017,N,2019,,N,,,Y,https://www.linkedin.com/company/utilityscore/,N,,N,2019,Brian Gitt,https://www.linkedin.com/in/brian-gitt-41467611/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/164355-13/company/profile,,,,1,,,,,,0.12M,,,,,2016,,,,,0.12M,,,,,,Accelerator/Incubator,,,,,2016,,,,,Accelerator/Incubator,,,,,2016,,N,,,,N,Y,Y Combinator,2016,https://my.pitchbook.com/profile/164355-13/company/deals#deal-74738-98T,N,,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/4/2026
"WaterBit, Inc.",Leif Chastaine,Agriculture and Waste,2016,West,,N,2020,N,2022,,N,,,Y,https://www.linkedin.com/company/waterbit-inc/,N,,N,2020,Leif Chastaine,https://www.linkedin.com/in/leif-chastaine-62436/,,,,,,N,,Y,glassdoor,2020,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/166869-28/company/profile#general-info,,,,6,,,,,,18.76M,,,,,2019,,,,,2.45M,,,,,,Early Stage VC,,,,,2016,,,,,Early Stage VC,,,,,2018,,N,,,,N,Y,Shenzhen Valley Ventures,,https://my.pitchbook.com/profile/166869-28/company/deals#deal-82873-27T,N,,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/4/2026
Drop On Solar,Dave Erickson,Energy Generation,2016,West,,N,2017,N,2017,,N,,,N,,N,,N,,Anna Erickson,https://www.linkedin.com/in/annaerickson7/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/593186-14/company/profile#comparisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,Los Angeles Cleantech Incubator ,2016,https://my.pitchbook.com/profile/593186-14/company/deals#deal-289647-64T,N,,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/4/2026
TinyFarms,Andrew Brentano,"Agriculture, Water & Waste",2017,West,,Y,2024,N,2024,https://www.opentinyfarms.com/,Y,,,N,,N,,N,2019,Andrew Brentano,https://www.linkedin.com/in/andrewbrentano/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/102713-77/company/profile#executives,,,,2,,,,,,0.13M,,,,,2018,,,,,0.1M,,,,,,Grant,,,,,2018,,,,,Grant,,,,,2018,,N,,,,N,Y,Food System 6,2017,https://my.pitchbook.com/profile/102713-77/company/deals#deal-118621-00T,N,,N,,,,,N,,N,,,Y,,https://www.opentinyfarms.com/about-us.html,N,,N,,Geoffrey,2/4/2026
Tenkiv,Vivian Levine,Energy Efficiency,2017,West,,A,2018,A,2018,,N,,,Y,https://www.linkedin.com/company/tenkiv-inc-/,N,,N,,Vivian Levine,https://www.linkedin.com/in/vivian-levine-25b70a41/,,,facebook,2018,https://www.facebook.com/Tenkiv/,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,Y,N,,,,,,,https://my.pitchbook.com/profile/229059-01/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,N,,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/4/2026
Advanced Paving Technologies Inc.,John Smith,Transportation,2017,West,,S,2019,S,2019,https://www.adpavtec.com/,Y,2015,news,Y,https://www.linkedin.com/company/advanced-paving-technologies-inc-/,N,,Y,,John Smith,https://www.linkedin.com/company/advanced-paving-technologies-inc-/,,,facebook,2019,https://www.facebook.com/people/Advanced-Paving-Technologies/100071039833115/?ref=hl#,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/266087-17/company/profile,,,,4,,,,,,1.24M,,,,,2019,,,,,0.22M,,,,,,Grant ,,,,,2017,,,,,Early Stage VC,,,,,,,N,,,,N,Y,Los Angeles Cleantech Incubator,2017,https://my.pitchbook.com/profile/266087-17/company/deals#deal-155517-04T,N,,N,,,,,N,,N,,,Y,,https://www.adpavtec.com/projects,N,,N,,Geoffrey,2/4/2026
carbonBLU,Sedale Turbovsky,Transportation,2017,West,,Y,2024,N,2020,,N,,,Y,https://www.linkedin.com/company/carbonblu/,N,,N,2018,Sedale Turbovsky,https://www.linkedin.com/in/sedaleturbovsky/,,,instagram,2018,https://www.instagram.com/carbonblu/,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/592159-78/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/4/2026
Meyers EV,Ed Bless,Transportation,2017,West,,N,2017,S,2017,,N,,,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/4/2026
Prandtl,Adithya Nagesh,Energy Generation,2017,West,,N,2017,S,2017,,N,,,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey,2/4/2026
Operant Solar,Keith Rose,Information & Communication Tech,2017,West,,N,2018,Y,2025,https://operantnetworks.com/,Y,2025,news,Y,https://www.linkedin.com/company/operantnetworks/,Y,2025,Y,,Keith Rose,https://www.linkedin.com/in/keith-rose-6897824/,,,,,,N,,N,,,N,,,N,,,N,,Y,2022,N,,N,,N,,N,,,,N,,N,Y,2022,Equity,,"4,000,000","3,499,999",,https://my.pitchbook.com/profile/267451-93/company/profile,,,,8,,,,,,13.29M,,,,,2022,,,,,3.5M,,,,,,Seed Round,,,,,2017,,,,,Grant,,,,,2021,,N,,,,N,Y,Creative Destruction Lab,2021,https://my.pitchbook.com/profile/267451-93/company/deals#deal-263346-76T,N,,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/4/2026
"Hyper-Chute Systems, LLC",Joseph Santos,Energy Generation,2017,West,,Y,2024,Y,2025,https://hydrochute.com/home-1,Y,2025,copy right,Y,https://www.linkedin.com/company/hydrochute/,N,,Y,,Joseph Santos,https://www.linkedin.com/in/joseph-santos-4a619a113/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,N,,N,,,,,N,,N,,,Y,,https://hydrochute.com/why-we-do-it,N,,N,,Geoffrey,2/4/2026
"CycleSCP, Inc.",Jianhan Wang,Transportation,2017,West,,Y,2024,S,2024,https://www.cyclescp.com/,Y,2022,blog,Y,https://www.linkedin.com/company/cyclescp/,N,,Y,,Jianhan Wang,https://www.linkedin.com/in/jianhanwang/,,,facebook,2022,https://www.facebook.com/cyclescp,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/557851-78/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,Startup Leadership Program,2016,https://my.pitchbook.com/profile/557851-78/company/deals#deal-265106-80T,N,,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/4/2026
Clean Terawatts,WIlliam Fiege,Energy Efficiency,2017,West,,Y,2024,S,2024,https://cleanterawatts.com/,Y,2024,copy right,N,,N,,Y,,William Fiege ,https://www.linkedin.com/in/william-fiege-740a511a/,,,facebook ,2022,https://www.facebook.com/CleanTerawatts/,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,N,,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/4/2026
"Whisper Energy Systems, Inc.",Michael Gould,Energy Distribution & Storage / Energy Generation,2017,West,,Y,2024,S,2024,https://www.whisperenergysystems.com/,Y,,,Y,https://www.linkedin.com/company/whisperenergy/,N,,Y,,Michael Gould,https://www.linkedin.com/in/michael-gould-66842219/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/530072-74/company/profile#general-info,,,,1,,,,,,0.15M,,,,,2020,,,,,0.15M,,,,,,Grant,,,,,2020,,,,,Grant ,,,,,2020,,N,,,,N,N,,,,N,,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/4/2026
Carbon Quest,Kevin Ward,Green Buildings,2017,West,,Y,2024,N,2024,,N,,,Y,https://www.linkedin.com/company/carbonquest/,N,,N,2018,Kevin W.,https://www.linkedin.com/in/kevinmartinward/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/593071-03/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,N,,N,,,,,N,,N,,,N,,,N,,N,,Geoffrey,2/4/2026
SECCO2 Engines,Andrew Jones,Energy Efficiency,2017,West,,Y,2024,S,2024,https://www.secco2.com/,Y,2017,news,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,N,,N,,,,,N,,N,,,Y,,https://www.secco2.com/secco2-advantages,N,,N,,Geoffrey,2/4/2026
Climate Solutions Net,Lisa Altieri,Information & Communication Tech,2017,West,,Y,2024,Y,2024,https://www.brightaction.com/,Y,,,Y,https://www.linkedin.com/company/51587910/,N,,Y,,Lisa Altieri,https://www.linkedin.com/in/laltieri5/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,https://my.pitchbook.com/profile/435541-15/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,Lever,,https://my.pitchbook.com/profile/435541-15/company/deals#deal-139143-34T,N,,N,,,,,N,,N,,,Y,,https://www.brightaction.com/about,N,,N,,Geoffrey,2/4/2026
"NovaSolix, Inc",Richard Preston,Energy Generation,2017,West,,Y,2024,Y,2024,https://www.novasolix.com/,Y,2024,copy right,Y,https://www.linkedin.com/company/novasolix/,N,,Y,,Rich Preston,https://www.linkedin.com/in/richpreston1/,twitter,https://x.com/novasolix?t=fHp_OM0IhIGIipCYU7UZEg,,,,N,,N,,,N,,,N,,,N,,Y,2024,N,,Y,2024,Y,California Solar & Storage Association (CALSSA),N,,,,N,,N,Y,2025,Equity,,"5,000,000","150,000",,https://my.pitchbook.com/profile/114847-57/company/profile,,,,3,,,,,,22.89,,,,,2024,,,,,0.15M,,,,,,Later Stage VC,,,,,2020,,,,,Later Stage VC,,,,,2022,,N,,,,N,N,,,,N,,N,,,,,N,,Y,2018,https://pv-magazine-usa.com/2018/11/23/all-i-want-for-christmas-is-a-90-efficient-solar-panel/,Y,,https://www.novasolix.com/technology,N,,N,,Geoffrey,2/4/2026
"Lilac Solutions, Inc.",David Snydacker,Energy Distribution & Storage / Energy Generation,2017,West,,Y,2024,Y,2026,https://lilacsolutions.com/news,Y,2026,blog post (press release ),Y,https://www.linkedin.com/company/lilac-solutions/,Y,2026,Y,,Raef Sully ,https://www.linkedin.com/in/raef-sully-1265332b/,,,,,,Y,2026,N,,,N,,,N,,,N,,Y,2021,N,,N,,N,,N,,,,N,,N,Y,2021,unregistered,,"149,999,990","130,002,961",https://www.crunchbase.com/organization/lilac-solutions,https://pitchbook.com/profiles/company/181403-11#overview,,,,10,,,,,,,,,,,2023,,,,,145M,,,,,,Later Stage VC,,,,,2016,,,,,Later Stage VC,,,,,2023,,N,,,,N,N,,,,N,,N,,,,,N,,N,,,Y,,https://lilacsolutions.com/news/lilac-and-traxys-announce-binding-10-year-offtake-agreement-for-great-salt-lake-lithium-production,Y,2025,N,,Henry ,2/17/2026
